diagnosis,severity
"J03.90 - Acute tonsillitis, unspecified",LOW
"peripheral vascular disease, unspecified",MEDIUM
"constipation, unspecified",LOW
J80 - Acute respiratory distress syndrome,HIGH
"Otitis media, unspecified",LOW
liver cell carcinoma,HIGH
"Acute upper respiratory infection, unspecified - minor condition, follow-up in 2 weeks",LOW
"H66.90 Otitis media, unspecified",LOW
"End stage renal disease - severe presentation, urgent care needed",HIGH
"Epilepsy, unspecified, not intractable",MEDIUM
"Bacterial infection, unspecified (severe)",HIGH
"Acute respiratory distress syndrome - critical condition, ICU admission",HIGH
"H61.20 Impacted cerumen, unspecified",LOW
T14.0 Superficial injury of,LOW
"C25.9 - Malignant neoplasm of pancreas, unspecified",HIGH
K30 - Functional dyspepsia,LOW
"Allergic rhinitis, unspecified - patient stable, outpatient treatment",LOW
Multiple sclerosis,HIGH
"I71.3 Abdominal aortic aneurysm,",HIGH
"Anemia, unspecified",MEDIUM
"Iron deficiency anemia, unspecified - mild symptoms, no complications",LOW
"B07.9 Viral wart, unspecified",LOW
"sepsis, unspecified organism",HIGH
Age-related osteoporosis without fracture,MEDIUM
"hydrocephalus, unspecified",HIGH
"Malignant neoplasm of brain, unspecified",HIGH
"F43.10 - Post-traumatic stress disorder, unspecified",MEDIUM
"I71.3 - Abdominal aortic aneurysm, ruptured",HIGH
Nervousness - no acute distress,LOW
"conjunctivitis, unspecified",LOW
"Otitis media, unspecified",LOW
E11.65 - Type 2 diabetes with hyperglycemia,HIGH
Malignant neoplasm of unspecified part of bronchus or lung,HIGH
"Mild intermittent asthma, uncomplicated",MEDIUM
Chronic obstructive pulmonary disease with exacerbation,MEDIUM
N40.0 Benign prostatic hyperplasia,MEDIUM
"Urinary tract infection, site not specified - minor condition, follow-up in 2 weeks",LOW
"conjunctivitis, unspecified",LOW
ingrowing nail,LOW
"chronic kidney disease, stage 3",MEDIUM
"Spondylosis with radiculopathy, cervical - stable but requires medication adjustment",MEDIUM
Acute nasopharyngitis (common cold),LOW
"Sepsis, unspecified organism",HIGH
"I63.9 - Cerebral infarction, unspecified (stroke)",HIGH
"Conjunctivitis, unspecified - minor condition, follow-up in 2 weeks",LOW
"Thrombocytopenia, unspecified",MEDIUM
"Peripheral vascular disease, unspecified - stable but requires medication adjustment",MEDIUM
pain in unspecified joint,LOW
"dermatitis, unspecified",LOW
Acne vulgaris,LOW
superficial injury of unspecified body region,LOW
S60.0 - Contusion of finger,LOW
C61 - Malignant neoplasm of prostate,HIGH
Type 2 diabetes with hyperglycemia,HIGH
"Type 2 diabetes mellitus without complications - chronic condition, ongoing treatment",MEDIUM
Unspecified abdominal pain,LOW
"cardiac arrest, cause unspecified",HIGH
"J06.9 - Acute upper respiratory infection, unspecified",LOW
"Gastritis, unspecified",LOW
M77.10 - Lateral epicondylitis,LOW
"dyslipidemia, unspecified",MEDIUM
"D50.9 - Iron deficiency anemia, unspecified",LOW
"conjunctivitis, unspecified",LOW
chronic gingivitis,LOW
"C25.9 - Malignant neoplasm of pancreas, unspecified",HIGH
R30.0 - Dysuria,LOW
"G43.909 - Migraine, unspecified, not intractable",MEDIUM
"Acute leukemia of unspecified cell type - critical condition, ICU admission",HIGH
"K50.90 Crohn disease, unspecified",MEDIUM
M54.5 - Low back pain,LOW
"rheumatoid arthritis, unspecified",MEDIUM
"Iron deficiency anemia, unspecified - patient stable, outpatient treatment",LOW
"I50.9 - Heart failure, unspecified",HIGH
C25.9 Malignant neoplasm of,HIGH
"acute kidney failure, unspecified",HIGH
"ulcerative colitis, unspecified",MEDIUM
"J06.9 - Acute upper respiratory infection, unspecified",LOW
"Viral wart, unspecified",LOW
G20 - Parkinson disease,MEDIUM
Type 2 diabetes mellitus without complications,MEDIUM
"Acute bronchitis, unspecified",MEDIUM
Lateral epicondylitis - no acute distress,LOW
human immunodeficiency virus (hiv) disease,HIGH
C95.00 Acute leukemia of,HIGH
L70.0 - Acne vulgaris,LOW
K74.60 - Unspecified cirrhosis of liver,HIGH
"Urticaria, unspecified - self-limiting condition",LOW
"K02.9 - Dental caries, unspecified",LOW
"Malignant neoplasm of unspecified part of bronchus or lung - life-threatening, immediate intervention",HIGH
"F20.9 - Schizophrenia, unspecified",HIGH
"mild intermittent asthma, uncomplicated",MEDIUM
"F31.9 - Bipolar disorder, unspecified",MEDIUM
obstructive sleep apnea,MEDIUM
R10.9 Unspecified abdominal pain,LOW
"malignant melanoma of skin, unspecified",HIGH
"Type 2 diabetes with hyperglycemia - advanced stage, palliative care discussed",HIGH
"abdominal aortic aneurysm, ruptured",HIGH
"Ulcerative colitis, unspecified - stable but requires medication adjustment",MEDIUM
"L20.9 - Atopic dermatitis, unspecified",MEDIUM
"Acute and subacute hepatic failure - critical condition, ICU admission",HIGH
Acne vulgaris,LOW
K57.30 Diverticulosis of large,MEDIUM
"Allergy, unspecified - self-limiting condition",LOW
infectious gastroenteritis and colitis,MEDIUM
"Dysuria - minor condition, follow-up in 2 weeks",LOW
"Urticaria, unspecified",LOW
"Pulmonary embolism without acute cor pulmonale - critical condition, ICU admission",HIGH
"pneumonia, unspecified organism",MEDIUM
"Peripheral vascular disease, unspecified - stable but requires medication adjustment",MEDIUM
Lateral epicondylitis,LOW
"F43.10 Post-traumatic stress disorder,",MEDIUM
amyotrophic lateral sclerosis (als),HIGH
K57.30 Diverticulosis of large,MEDIUM
"Type 2 diabetes mellitus without complications - moderate symptoms, requires monitoring",MEDIUM
acne vulgaris,LOW
"acute pharyngitis, unspecified",LOW
"rheumatoid arthritis, unspecified",MEDIUM
"I46.9 Cardiac arrest, cause",HIGH
C18.9 Malignant neoplasm of,HIGH
"Emphysema, unspecified",HIGH
lateral epicondylitis,LOW
"D69.6 - Thrombocytopenia, unspecified",MEDIUM
Malignant neoplasm of unspecified site of breast,HIGH
Chronic gingivitis,LOW
K21.0 Gastro-esophageal reflux with,MEDIUM
"L30.9 - Dermatitis, unspecified",LOW
A09 - Infectious gastroenteritis and colitis,MEDIUM
Primary insomnia - no acute distress,LOW
"I71.3 - Abdominal aortic aneurysm, ruptured",HIGH
"J03.90 Acute tonsillitis, unspecified",LOW
Ingrowing nail,LOW
B20 - Human immunodeficiency virus (HIV) disease,HIGH
"Chronic kidney disease, stage 3 - moderate symptoms, requires monitoring",MEDIUM
"Otitis media, unspecified - mild symptoms, no complications",LOW
"cerebral infarction, unspecified (stroke)",HIGH
Atherosclerotic heart disease,MEDIUM
"N17.9 Acute kidney failure,",HIGH
"E05.90 - Thyrotoxicosis, unspecified",MEDIUM
"thyrotoxicosis, unspecified",MEDIUM
Acute nasopharyngitis (common cold) - no acute distress,LOW
vitamin e deficiency,LOW
type 2 diabetes with hyperglycemia,HIGH
"bacterial infection, unspecified (severe)",HIGH
C50.919 - Malignant neoplasm of unspecified site of breast,HIGH
calculus of gallbladder without obstruction,MEDIUM
"Sepsis, unspecified organism - critical condition, ICU admission",HIGH
"Malignant neoplasm of brain, unspecified",HIGH
"Acute respiratory distress syndrome - acute emergency, rapid response",HIGH
C95.00 - Acute leukemia of unspecified cell type,HIGH
"Peripheral vascular disease, unspecified",MEDIUM
"Unspecified cirrhosis of liver - advanced stage, palliative care discussed",HIGH
S90.0 - Contusion of ankle,LOW
Atherosclerotic heart disease,MEDIUM
"J30.9 Allergic rhinitis, unspecified",LOW
"Viral wart, unspecified - minor condition, follow-up in 2 weeks",LOW
end stage renal disease,HIGH
"Rheumatoid arthritis, unspecified - chronic condition, ongoing treatment",MEDIUM
unspecified abdominal pain,LOW
"H10.9 - Conjunctivitis, unspecified",LOW
Primary insomnia,LOW
"Hypothyroidism, unspecified",MEDIUM
A09 - Infectious gastroenteritis and colitis,MEDIUM
R45.0 - Nervousness,LOW
"I21.9 Acute myocardial infarction,",HIGH
K21.0 - Gastro-esophageal reflux with esophagitis,MEDIUM
vitamin e deficiency,LOW
Chronic viral hepatitis C - stable but requires medication adjustment,MEDIUM
C95.00 - Acute leukemia of unspecified cell type,HIGH
G47.33 Obstructive sleep apnea,MEDIUM
"Chronic kidney disease, stage 3",MEDIUM
Primary insomnia,LOW
N40.0 - Benign prostatic hyperplasia without obstruction,MEDIUM
"J18.9 - Pneumonia, unspecified organism",MEDIUM
J80 Acute respiratory distress,HIGH
"Thyrotoxicosis, unspecified - chronic condition, ongoing treatment",MEDIUM
contusion of ankle,LOW
F41.1 - Generalized anxiety disorder,MEDIUM
"J06.9 - Acute upper respiratory infection, unspecified",LOW
chronic gingivitis,LOW
Type 1 diabetes with ketoacidosis,HIGH
chronic viral hepatitis c,MEDIUM
"Malignant neoplasm of brain, unspecified - advanced stage, palliative care discussed",HIGH
E56.0 Vitamin E deficiency,LOW
"Urinary tract infection, site not specified",LOW
I10 - Essential (primary) hypertension,MEDIUM
"Acute kidney failure, unspecified",HIGH
Traumatic shock,HIGH
"Pneumonia, unspecified organism",MEDIUM
Contusion of finger,LOW
M25.50 Pain in unspecified,LOW
"G40.909 Epilepsy, unspecified, not",MEDIUM
"J03.90 Acute tonsillitis, unspecified",LOW
J30.1 - Allergic rhinitis due to pollen,LOW
vitamin e deficiency,LOW
I25.10 - Atherosclerotic heart disease,MEDIUM
"Malignant neoplasm of colon, unspecified",HIGH
"K02.9 - Dental caries, unspecified",LOW
"I71.3 Abdominal aortic aneurysm,",HIGH
"rheumatoid arthritis, unspecified",MEDIUM
"I21.9 - Acute myocardial infarction, unspecified",HIGH
lateral epicondylitis,LOW
"Dyslipidemia, unspecified - moderate symptoms, requires monitoring",MEDIUM
Contusion of finger,LOW
I26.99 - Pulmonary embolism without acute cor pulmonale,HIGH
K80.20 Calculus of gallbladder,MEDIUM
"D64.9 - Anemia, unspecified",MEDIUM
"Acne vulgaris - mild symptoms, no complications",LOW
Psoriasis vulgaris - needs specialist referral,MEDIUM
Unspecified abdominal pain,LOW
J80 Acute respiratory distress,HIGH
"Mild intermittent asthma, uncomplicated",MEDIUM
"L20.9 - Atopic dermatitis, unspecified",MEDIUM
"Multiple sclerosis - severe presentation, urgent care needed",HIGH
G35 - Multiple sclerosis,HIGH
"A41.9 - Sepsis, unspecified organism",HIGH
"Crohn disease, unspecified - moderate symptoms, requires monitoring",MEDIUM
C34.90 Malignant neoplasm of,HIGH
"spondylosis with radiculopathy, cervical",MEDIUM
K74.60 Unspecified cirrhosis of,HIGH
"Thyrotoxicosis, unspecified - moderate symptoms, requires monitoring",MEDIUM
"Atopic dermatitis, unspecified - needs specialist referral",MEDIUM
"B34.9 Viral infection, unspecified",LOW
"Thyrotoxicosis, unspecified - chronic condition, ongoing treatment",MEDIUM
type 2 diabetes with hyperglycemia,HIGH
"J20.9 Acute bronchitis, unspecified",MEDIUM
"malignant neoplasm of pancreas, unspecified",HIGH
K80.20 Calculus of gallbladder,MEDIUM
"Acute leukemia of unspecified cell type - critical condition, ICU admission",HIGH
"Acute tonsillitis, unspecified",LOW
"Bipolar disorder, unspecified - needs specialist referral",MEDIUM
psoriasis vulgaris,MEDIUM
"Functional dyspepsia - minor condition, follow-up in 2 weeks",LOW
"K51.90 - Ulcerative colitis, unspecified",MEDIUM
I10 - Essential (primary) hypertension,MEDIUM
R45.0 - Nervousness,LOW
"L50.9 - Urticaria, unspecified",LOW
"Rheumatoid arthritis, unspecified - moderate symptoms, requires monitoring",MEDIUM
disseminated intravascular coagulation,HIGH
"Malignant neoplasm of prostate - critical condition, ICU admission",HIGH
K30 - Functional dyspepsia,LOW
B18.2 Chronic viral hepatitis,MEDIUM
I48.0 - Paroxysmal atrial fibrillation,MEDIUM
"Liver cell carcinoma - severe presentation, urgent care needed",HIGH
"Dermatitis, unspecified - mild symptoms, no complications",LOW
Acute leukemia of unspecified cell type,HIGH
I25.10 Atherosclerotic heart disease,MEDIUM
D65 Disseminated intravascular coagulation,HIGH
Dysuria - no acute distress,LOW
Lateral epicondylitis,LOW
"pneumonia, unspecified organism",MEDIUM
"malignant neoplasm of colon, unspecified",HIGH
"Acute respiratory failure, unspecified - acute emergency, rapid response",HIGH
Infectious gastroenteritis and colitis - stable but requires medication adjustment,MEDIUM
Chronic viral hepatitis C,MEDIUM
N18.6 - End stage renal disease,HIGH
"E03.9 - Hypothyroidism, unspecified",MEDIUM
Vitamin E deficiency,LOW
L40.0 - Psoriasis vulgaris,MEDIUM
"Myalgia - mild symptoms, no complications",LOW
Age-related osteoporosis without fracture - follow-up required in 1 week,MEDIUM
generalized anxiety disorder,MEDIUM
pulmonary embolism without acute cor pulmonale,HIGH
"G30.9 - Alzheimer disease, unspecified",HIGH
"Disseminated intravascular coagulation - advanced stage, palliative care discussed",HIGH
"Atopic dermatitis, unspecified - stable but requires medication adjustment",MEDIUM
"Intracranial injury, unspecified",HIGH
"Epilepsy, unspecified, not intractable",MEDIUM
"heart failure, unspecified",HIGH
"iron deficiency anemia, unspecified",LOW
"Malignant melanoma of skin, unspecified - critical condition, ICU admission",HIGH
"Constipation, unspecified",LOW
Low back pain,LOW
Gastro-esophageal reflux with esophagitis - needs specialist referral,MEDIUM
T14.0 - Superficial injury of unspecified body region,LOW
"Malignant neoplasm of pancreas, unspecified - critical condition, ICU admission",HIGH
"Cardiac arrest, cause unspecified",HIGH
"Acute myocardial infarction, unspecified - severe presentation, urgent care needed",HIGH
"Acute pharyngitis, unspecified",LOW
Diverticulosis of large intestine,MEDIUM
L40.0 - Psoriasis vulgaris,MEDIUM
"J43.9 - Emphysema, unspecified",HIGH
Diverticulosis of large intestine - follow-up required in 1 week,MEDIUM
"Acute tonsillitis, unspecified",LOW
"K59.00 - Constipation, unspecified",LOW
type 2 diabetes mellitus without complications,MEDIUM
Acute nasopharyngitis (common cold),LOW
chronic obstructive pulmonary disease with exacerbation,MEDIUM
"K29.70 - Gastritis, unspecified",LOW
"Acute leukemia of unspecified cell type - acute emergency, rapid response",HIGH
"Bipolar disorder, unspecified - moderate symptoms, requires monitoring",MEDIUM
"Acute pharyngitis, unspecified",LOW
"Cardiac arrest, cause unspecified",HIGH
Allergic rhinitis due to pollen,LOW
"dental caries, unspecified",LOW
C22.0 Liver cell carcinoma,HIGH
acute nasopharyngitis (common cold),LOW
"H66.90 - Otitis media, unspecified",LOW
"Panniculitis, unspecified",LOW
Lateral epicondylitis - no acute distress,LOW
"Cardiac arrest, cause unspecified",HIGH
I48.0 - Paroxysmal atrial fibrillation,MEDIUM
K72.00 Acute and subacute,HIGH
"emphysema, unspecified",HIGH
Contusion of ankle - no acute distress,LOW
calculus of gallbladder without obstruction,MEDIUM
M77.10 - Lateral epicondylitis,LOW
"Major depressive disorder, single episode, moderate",MEDIUM
"dyslipidemia, unspecified",MEDIUM
F41.1 Generalized anxiety disorder,MEDIUM
M25.50 Pain in unspecified,LOW
unspecified cirrhosis of liver,HIGH
"G40.909 - Epilepsy, unspecified, not intractable",MEDIUM
"Psoriasis vulgaris - chronic condition, ongoing treatment",MEDIUM
"L30.9 - Dermatitis, unspecified",LOW
functional dyspepsia,LOW
S90.0 Contusion of ankle,LOW
"anemia, unspecified",MEDIUM
"C25.9 - Malignant neoplasm of pancreas, unspecified",HIGH
"Acute bronchitis, unspecified - needs specialist referral",MEDIUM
"N18.3 Chronic kidney disease,",MEDIUM
R45.0 - Nervousness,LOW
"K51.90 Ulcerative colitis, unspecified",MEDIUM
"Parkinson disease - moderate symptoms, requires monitoring",MEDIUM
"C18.9 - Malignant neoplasm of colon, unspecified",HIGH
essential (primary) hypertension,MEDIUM
Essential (primary) hypertension,MEDIUM
F41.1 - Generalized anxiety disorder,MEDIUM
N18.6 End stage renal,HIGH
Generalized anxiety disorder,MEDIUM
"T78.40 - Allergy, unspecified",LOW
"Post-traumatic stress disorder, unspecified",MEDIUM
Nervousness,LOW
C50.919 - Malignant neoplasm of unspecified site of breast,HIGH
"Malignant melanoma of skin, unspecified",HIGH
generalized anxiety disorder,MEDIUM
G20 - Parkinson disease,MEDIUM
contusion of ankle,LOW
"K51.90 Ulcerative colitis, unspecified",MEDIUM
superficial injury of unspecified body region,LOW
Ingrowing nail,LOW
"Allergy, unspecified",LOW
"L20.9 - Atopic dermatitis, unspecified",MEDIUM
"atopic dermatitis, unspecified",MEDIUM
"G40.909 - Epilepsy, unspecified, not intractable",MEDIUM
"Generalized anxiety disorder - chronic condition, ongoing treatment",MEDIUM
"N39.0 Urinary tract infection,",LOW
Gastro-esophageal reflux with esophagitis,MEDIUM
"J96.00 Acute respiratory failure,",HIGH
dysuria,LOW
"G91.9 - Hydrocephalus, unspecified",HIGH
"Panniculitis, unspecified - minor condition, follow-up in 2 weeks",LOW
Myalgia,LOW
"hypothyroidism, unspecified",MEDIUM
"urticaria, unspecified",LOW
"J96.00 - Acute respiratory failure, unspecified",HIGH
"K02.9 - Dental caries, unspecified",LOW
"F20.9 - Schizophrenia, unspecified",HIGH
Unspecified abdominal pain,LOW
I10 - Essential (primary) hypertension,MEDIUM
"L30.9 - Dermatitis, unspecified",LOW
Contusion of finger,LOW
"D64.9 - Anemia, unspecified",MEDIUM
"thyrotoxicosis, unspecified",MEDIUM
"acute tonsillitis, unspecified",LOW
"Vitamin E deficiency - mild symptoms, no complications",LOW
"G43.909 Migraine, unspecified, not",MEDIUM
"Emphysema, unspecified",HIGH
Parkinson disease - follow-up required in 1 week,MEDIUM
M81.0 Age-related osteoporosis without,MEDIUM
K72.00 - Acute and subacute hepatic failure,HIGH
"Acute kidney failure, unspecified - severe presentation, urgent care needed",HIGH
I10 Essential (primary) hypertension,MEDIUM
Acute leukemia of unspecified cell type,HIGH
"major depressive disorder, single episode, moderate",MEDIUM
"Pulmonary embolism without acute cor pulmonale - life-threatening, immediate intervention",HIGH
C50.919 Malignant neoplasm of,HIGH
"Ulcerative colitis, unspecified",MEDIUM
"Dental caries, unspecified",LOW
Allergic rhinitis due to pollen,LOW
"allergy, unspecified",LOW
"ulcerative colitis, unspecified",MEDIUM
"Conjunctivitis, unspecified",LOW
"Malignant neoplasm of pancreas, unspecified - life-threatening, immediate intervention",HIGH
"Pneumonia, unspecified organism - follow-up required in 1 week",MEDIUM
"Major depressive disorder, single episode, moderate - moderate symptoms, requires monitoring",MEDIUM
Paroxysmal atrial fibrillation,MEDIUM
"Migraine, unspecified, not intractable",MEDIUM
"Cardiac arrest, cause unspecified - severe presentation, urgent care needed",HIGH
Paroxysmal atrial fibrillation,MEDIUM
C61 Malignant neoplasm of,HIGH
K80.20 - Calculus of gallbladder without obstruction,MEDIUM
G12.21 - Amyotrophic lateral sclerosis (ALS),HIGH
"epilepsy, unspecified, not intractable",MEDIUM
"Mild intermittent asthma, uncomplicated - moderate symptoms, requires monitoring",MEDIUM
"Cerebral infarction, unspecified (stroke) - life-threatening, immediate intervention",HIGH
type 1 diabetes with ketoacidosis,HIGH
Contusion of ankle,LOW
"Constipation, unspecified - patient stable, outpatient treatment",LOW
A09 - Infectious gastroenteritis and colitis,MEDIUM
"Emphysema, unspecified - critical condition, ICU admission",HIGH
"Nervousness - mild symptoms, no complications",LOW
acute leukemia of unspecified cell type,HIGH
end stage renal disease,HIGH
"B34.9 Viral infection, unspecified",LOW
B20 - Human immunodeficiency virus (HIV) disease,HIGH
Contusion of ankle,LOW
E56.0 Vitamin E deficiency,LOW
"Contusion of finger - minor condition, follow-up in 2 weeks",LOW
N40.0 - Benign prostatic hyperplasia without obstruction,MEDIUM
Atherosclerotic heart disease - needs specialist referral,MEDIUM
Acute and subacute hepatic failure,HIGH
"N17.9 - Acute kidney failure, unspecified",HIGH
K21.0 Gastro-esophageal reflux with,MEDIUM
Generalized anxiety disorder - follow-up required in 1 week,MEDIUM
"Otitis media, unspecified",LOW
"Rheumatoid arthritis, unspecified",MEDIUM
psoriasis vulgaris,MEDIUM
Low back pain - self-limiting condition,LOW
"Alzheimer disease, unspecified - advanced stage, palliative care discussed",HIGH
"Acute respiratory failure, unspecified",HIGH
S90.0 Contusion of ankle,LOW
type 2 diabetes mellitus without complications,MEDIUM
C50.919 Malignant neoplasm of,HIGH
Pain in unspecified joint,LOW
nervousness,LOW
"alzheimer disease, unspecified",HIGH
"Psoriasis vulgaris - moderate symptoms, requires monitoring",MEDIUM
Ingrowing nail,LOW
"Dental caries, unspecified - no acute distress",LOW
I10 Essential (primary) hypertension,MEDIUM
"Dyslipidemia, unspecified",MEDIUM
"intracranial injury, unspecified",HIGH
"Malignant neoplasm of unspecified site of breast - advanced stage, palliative care discussed",HIGH
low back pain,LOW
"Dermatitis, unspecified",LOW
E56.0 - Vitamin E deficiency,LOW
malignant neoplasm of unspecified site of breast,HIGH
"Thyrotoxicosis, unspecified",MEDIUM
"Viral infection, unspecified",LOW
"urticaria, unspecified",LOW
myalgia,LOW
J06.9 Acute upper respiratory,LOW
"Thrombocytopenia, unspecified - moderate symptoms, requires monitoring",MEDIUM
"schizophrenia, unspecified",HIGH
"B34.9 Viral infection, unspecified",LOW
"E78.5 - Dyslipidemia, unspecified",MEDIUM
K72.00 - Acute and subacute hepatic failure,HIGH
"Pneumonia, unspecified organism",MEDIUM
Unspecified cirrhosis of liver,HIGH
J00 - Acute nasopharyngitis (common cold),LOW
psoriasis vulgaris,MEDIUM
L60.0 - Ingrowing nail,LOW
"C43.9 - Malignant melanoma of skin, unspecified",HIGH
primary insomnia,LOW
"M06.9 Rheumatoid arthritis, unspecified",MEDIUM
"K51.90 Ulcerative colitis, unspecified",MEDIUM
chronic obstructive pulmonary disease with exacerbation,MEDIUM
"Thrombocytopenia, unspecified",MEDIUM
"C43.9 - Malignant melanoma of skin, unspecified",HIGH
"Spondylosis with radiculopathy, cervical",MEDIUM
R10.9 - Unspecified abdominal pain,LOW
"Thrombocytopenia, unspecified",MEDIUM
"G40.909 - Epilepsy, unspecified, not intractable",MEDIUM
"B34.9 Viral infection, unspecified",LOW
"C18.9 - Malignant neoplasm of colon, unspecified",HIGH
"B34.9 Viral infection, unspecified",LOW
"Acute bronchitis, unspecified - moderate symptoms, requires monitoring",MEDIUM
"viral wart, unspecified",LOW
"I50.9 Heart failure, unspecified",HIGH
"Ingrowing nail - minor condition, follow-up in 2 weeks",LOW
E56.0 Vitamin E deficiency,LOW
"Emphysema, unspecified - critical condition, ICU admission",HIGH
Unspecified abdominal pain,LOW
benign prostatic hyperplasia without obstruction,MEDIUM
"A49.9 Bacterial infection, unspecified",HIGH
B18.2 Chronic viral hepatitis,MEDIUM
Malignant neoplasm of prostate,HIGH
"Allergic rhinitis, unspecified",LOW
"Impacted cerumen, unspecified ear - self-limiting condition",LOW
"major depressive disorder, single episode, moderate",MEDIUM
Contusion of ankle - self-limiting condition,LOW
"Schizophrenia, unspecified - critical condition, ICU admission",HIGH
"gastritis, unspecified",LOW
B18.2 - Chronic viral hepatitis C,MEDIUM
"Malignant neoplasm of colon, unspecified - life-threatening, immediate intervention",HIGH
type 2 diabetes with hyperglycemia,HIGH
Myalgia,LOW
acute and subacute hepatic failure,HIGH
"Peripheral vascular disease, unspecified",MEDIUM
"Acute kidney failure, unspecified - advanced stage, palliative care discussed",HIGH
"N18.3 Chronic kidney disease,",MEDIUM
"Acute upper respiratory infection, unspecified",LOW
Superficial injury of unspecified body region,LOW
Disseminated intravascular coagulation,HIGH
C22.0 - Liver cell carcinoma,HIGH
"F32.1 Major depressive disorder,",MEDIUM
J80 Acute respiratory distress,HIGH
acute respiratory distress syndrome,HIGH
acute nasopharyngitis (common cold),LOW
M25.50 - Pain in unspecified joint,LOW
"J45.20 - Mild intermittent asthma, uncomplicated",MEDIUM
Ingrowing nail,LOW
"Low back pain - patient stable, outpatient treatment",LOW
"I46.9 Cardiac arrest, cause",HIGH
"Functional dyspepsia - minor condition, follow-up in 2 weeks",LOW
"panniculitis, unspecified",LOW
"anemia, unspecified",MEDIUM
"M47.812 Spondylosis with radiculopathy,",MEDIUM
"Hypothyroidism, unspecified - stable but requires medication adjustment",MEDIUM
multiple sclerosis,HIGH
T79.4 - Traumatic shock,HIGH
"T78.40 - Allergy, unspecified",LOW
"I63.9 Cerebral infarction, unspecified",HIGH
"Type 2 diabetes with hyperglycemia - severe presentation, urgent care needed",HIGH
"I21.9 - Acute myocardial infarction, unspecified",HIGH
N40.0 Benign prostatic hyperplasia,MEDIUM
"Urinary tract infection, site not specified - self-limiting condition",LOW
"dermatitis, unspecified",LOW
C22.0 - Liver cell carcinoma,HIGH
Type 1 diabetes with ketoacidosis,HIGH
